,firmgrowthregpred1620
708,0.19699686790464024
709,0.45457389936601095
710,0.15015394520706465
711,0.17115368201204845
712,0.5268639203511194
713,0.6465654180069261
714,0.1835651539708907
715,0.48162919107245344
716,0.12220892682893651
717,0.24868273216244097
718,0.17821450719348497
719,0.19000121499897848
720,0.19159332336717136
721,0.09472258447529887
722,0.22251934336280096
723,0.169567526144926
724,0.09966400877955656
725,0.48618030654377925
726,0.12645353648277674
727,0.13052552651257646
728,0.17189495795076898
729,0.26903451918776644
730,0.16923614391838582
731,0.3098712274882419
732,0.09740586237671997
733,0.10119433197985715
734,0.11866529322857364
735,0.12216255444596814
736,0.48657704691114795
737,0.28887865680648317
738,0.11299396386347917
739,0.18658970806795627
740,0.20131043200169513
741,0.12617483719041464
742,0.23489674508809352
743,0.3191759752051929
744,0.11995037155498955
745,0.3159447299400413
746,0.26537611999524724
747,0.26877018935243047
748,0.17803001568101298
749,0.14442191669204865
750,0.46150533693375595
751,0.18222956959476472
752,0.12192189137977466
753,0.096905503909006
754,0.4379659441527694
755,0.1990074261851879
756,0.4415897380257341
757,0.10221616602449682
758,0.18707154186764086
759,0.5051122755291935
760,0.12856309850230654
761,0.7722375066824335
762,0.14841760811307506
763,0.30442503843174595
764,0.45991552955961196
765,0.3062279158463594
766,0.15800972931265828
767,0.16995734803682785
768,0.18795644214580745
769,0.21047737787042478
770,0.23754174957354116
771,0.09847489405963661
772,0.10198470595717295
773,0.4714657184964498
774,0.10474685897029713
775,0.39049578124668577
776,0.4514145206484662
777,0.3558181672146742
778,0.1591353809283035
779,0.18242036155868385
780,0.11319682786376249
781,0.12217438030640078
782,0.15097046058473193
783,0.1392671730182055
784,0.11466167677654492
785,0.10827728126176048
786,0.36999991964929474
787,0.10003575663174484
788,0.11149752701923198
789,0.20076309124344718
790,0.11388130014899218
791,0.10316238277243829
792,0.18922865460962943
793,0.10827016669090118
794,0.10229576304162681
795,0.1522119357732286
796,0.132656962928955
797,0.12960020292954305
798,0.10451256722886718
799,0.14665030809650714
800,0.1362097536463766
801,0.15157465348407395
802,0.1289566249182742
803,0.13295604018888976
804,0.1728463694623203
805,0.18822409809451918
806,0.0972061134004701
807,0.10340799376413669
808,0.10500823564801487
809,0.1157981116682753
810,0.12890687820733204
811,0.10329530679584596
812,0.10422168881511543
813,0.15085670164477152
814,0.37016646896912525
815,0.1600222877301366
816,0.12183050135800408
817,0.10646963706440599
818,0.19749970414387671
819,0.10403496902211579
820,0.14538101247207863
821,0.12355705148266267
822,0.11061656094394172
823,0.345484098588198
824,0.12164219589274718
825,0.29580786688453276
826,0.10413808986391751
827,0.1305882994283628
828,0.09925444903761428
829,0.10356457296688075
830,0.2928526388089906
831,0.16045005376286547
832,0.5312649414525183
833,0.708074427548544
834,0.1069399525100697
835,0.18214146444103843
836,0.18416649263099685
837,0.10783322228996313
838,0.16344726499688225
839,0.1019015052182954
840,0.11493596517390016
841,0.1376437610418449
842,0.15704732387489678
843,0.11612097948407313
844,0.15219497293179296
845,0.22501620849137316
846,0.427118278301352
847,0.12272408124558248
848,0.17856078933294958
849,0.4215603859374676
