,entmun,firmgrowthclasspred,popgrowthclasspred,firmgrowthclasspred1620,popgrowthclasspred1620,y1,y2,resfirms,respop
2152,30074,0,1,0,1,1,1,-1,0
2153,30075,0,0,1,1,1,0,-1,0
2154,30076,0,0,0,0,0,0,0,0
2155,30077,1,0,1,1,1,0,0,0
2156,30078,0,1,1,1,0,1,0,0
2157,30079,0,1,0,1,1,1,-1,0
2158,30080,0,1,1,1,0,1,0,0
2159,30081,0,1,1,1,1,1,-1,0
2160,30082,0,1,1,1,0,1,0,0
2161,30083,1,1,1,1,0,1,1,0
2162,30084,0,0,0,0,0,0,0,0
2163,30085,1,1,1,1,1,1,0,0
2164,30086,1,1,1,1,1,1,0,0
2165,30087,1,1,1,1,1,1,0,0
2166,30088,0,0,0,1,0,0,0,0
2167,30089,1,1,1,1,0,0,1,1
2168,30090,0,1,0,1,1,1,-1,0
2169,30091,1,1,1,0,0,1,1,0
2170,30092,1,1,1,1,1,1,0,0
2171,30093,1,1,1,1,1,1,0,0
2172,30094,1,0,1,0,1,0,0,0
2173,30095,0,0,1,0,0,0,0,0
2174,30096,0,0,0,0,0,0,0,0
2175,30097,1,1,1,1,1,0,0,1
2176,30098,0,0,0,0,1,0,-1,0
2177,30099,1,0,1,0,0,1,1,-1
2178,30100,1,1,1,1,1,0,0,1
2179,30101,1,1,1,1,0,1,1,0
2180,30102,1,1,1,1,1,1,0,0
2181,30103,0,1,1,1,1,0,-1,1
2182,30104,0,1,0,1,1,0,-1,1
2183,30105,1,1,1,1,1,1,0,0
2184,30106,0,0,0,0,0,1,0,-1
2185,30107,0,0,0,0,0,0,0,0
2186,30108,1,1,1,1,0,0,1,1
2187,30109,1,1,1,1,1,0,0,1
2188,30110,0,1,0,1,0,1,0,0
2189,30111,0,1,1,1,0,1,0,0
2190,30112,1,1,1,1,1,1,0,0
2191,30113,0,0,0,0,1,0,-1,0
2192,30114,0,1,0,1,1,1,-1,0
2193,30115,1,1,1,1,1,1,0,0
2194,30116,1,1,1,1,1,1,0,0
2195,30117,0,0,1,0,0,1,0,-1
2196,30118,1,1,1,1,1,0,0,1
2197,30119,0,0,0,1,0,1,0,-1
2198,30120,1,1,1,1,1,1,0,0
2199,30121,0,0,1,1,0,0,0,0
2200,30122,0,1,0,1,0,1,0,0
2201,30123,1,1,1,1,1,0,0,1
2202,30124,1,1,1,1,1,0,0,1
2203,30125,1,1,1,1,1,1,0,0
2204,30126,1,1,1,1,0,0,1,1
2205,30127,0,1,1,1,0,1,0,0
2206,30128,1,1,1,1,1,1,0,0
2207,30129,1,1,1,1,0,0,1,1
2208,30130,1,0,1,0,1,0,0,0
2209,30131,1,1,1,1,1,0,0,1
2210,30132,1,1,1,1,0,1,1,0
2211,30133,1,0,1,0,0,0,1,0
2212,30134,0,0,1,1,0,0,0,0
2213,30135,1,1,1,1,0,1,1,0
