,firmgrowthregpred
578,0.08299986992195446
579,0.038435867236915056
580,0.14458966522972247
581,0.06785039792038587
582,0.026010446675403035
583,0.4369113536370652
584,-0.000732307574650794
585,0.09741499439528782
586,0.013897614793379136
587,0.016626044129278785
588,0.07874697064764527
589,0.07996198282872308
590,0.019625854989920984
591,0.061182793340718404
592,0.014881869030996243
593,0.3281481615953927
594,0.14347165335026912
595,0.06428883570342085
596,0.17612586267746666
597,0.4673542649656367
598,0.06393777495818988
599,0.04062743889052731
600,0.47778156827854384
601,0.013841369546010297
602,0.018208892372873826
603,0.2358044140586262
604,0.09431950470615463
605,0.02198560144237753
606,0.015829552312180837
607,0.11629364613425969
608,0.15031078382078458
609,0.08317372522953852
610,0.01790927611961484
611,0.015015484982856132
612,0.16147880697424935
613,0.21277217037807164
614,0.0941389537445575
615,0.16114534388750062
616,0.08399394776292485
617,0.08298967015739012
618,0.07800650845267709
619,0.01402337712327729
620,0.040886903481529915
621,0.14845110423212263
622,0.06175311546562997
623,0.3690883886444316
624,0.19376305928402743
625,0.04454383014878192
626,0.07719536727230245
627,0.5046156760146742
628,0.43346789288308524
629,0.04742259979130533
630,0.129002024689094
631,0.4962179226119445
632,0.02013148864916835
633,0.036281701652489576
634,0.018578826125234746
635,0.09591827928129501
636,0.018098641892783974
637,0.020223515786369235
638,0.16734750086395564
639,0.06659820663336086
640,0.0642154032834349
641,0.03497284707199883
642,0.012490871557549887
643,0.06417780063476174
644,0.08240767666083984
645,0.022281438247313646
646,0.0960483548766855
647,0.013398313904205166
648,0.09569821665079051
649,0.1276484011314704
650,0.7291276052127247
651,0.12208375848449585
652,0.036633627019343015
653,0.061229158611941
654,0.1860744321696971
655,0.08122091862127932
656,0.14193892903183597
657,0.25762365532050574
658,0.12235057679265157
659,0.0662489767932727
660,0.22370197203866826
661,0.07484786620919334
662,0.01746842630744989
663,0.11276382117375156
664,0.19328724302727654
665,0.1272626158574136
666,0.15689565497423294
667,0.06809483557754803
668,0.46591704272989887
669,0.42133087225280746
670,0.14889110570838315
671,0.1172099170605952
672,0.05106436759868725
673,0.1628825888710129
674,0.1785702016184644
675,0.3755830517001589
676,0.1404386620897819
677,0.06454268088962753
678,0.14585853890002887
679,0.43836034684102676
680,0.42339413868704096
681,0.104884320235697
682,0.06386778547533847
683,0.11846158694346656
684,0.352141747787424
685,0.09188318065061948
686,0.38910744492013805
687,0.11531702397196968
688,0.7156975063890456
689,0.05271488935270123
690,0.26060692615812564
691,0.16074845751782144
692,0.29950396693506515
693,0.05324121872916918
694,0.41660247678335643
695,0.15550693133646545
696,0.026080444854108705
697,0.3236711058131394
698,0.11451719322452009
699,0.11638827406976929
700,0.17466879197041937
701,0.05757850596621586
702,0.15778618354316987
703,0.23000212231488323
704,0.07549898440493759
705,0.11654632820559085
706,0.441852764536407
707,0.11106536316427192
708,0.14847560130401719
709,0.444504777310006
710,0.08480966625959242
711,0.12503266959976328
712,0.40524161789347524
713,0.6180228320564072
714,0.14812345606567345
715,0.3484919846943586
716,0.054567801183719844
717,0.09373608116156532
718,0.11782384623646694
719,0.14237358560077376
720,0.1462234835696179
721,0.018355269557435543
722,0.18980346969158338
723,0.12984293793791615
724,0.022358889224974355
725,0.380908474576982
726,0.06266995791786029
727,0.06986457106723058
728,0.10633432670046553
729,0.17183921921610598
730,0.12106786555418902
731,0.20865548082457167
732,0.01928347854713482
733,0.040510071163055245
734,0.06296538236342421
735,0.09160890461185703
736,0.38352016302358577
737,0.23634866451020906
738,0.06556649140249506
739,0.15653168276760313
740,0.1661804837713343
741,0.11096019474988206
742,0.18087635747611583
743,0.2347538500283492
744,0.06583776412398706
745,0.23915972465552723
746,0.16317846945412848
747,0.22259077656716386
748,0.12484052993237364
749,0.13045713677040097
750,0.3551944808986707
751,0.15131833148472676
752,0.06705121712602319
753,0.025116209399371325
754,0.47307477084219857
755,0.15625733370379916
756,0.31708210357494093
757,0.055115744414221214
758,0.14070416982625436
759,0.4231086097613794
760,0.10675302974725552
761,0.8306332535929106
762,0.0878108418725262
763,0.23234313267218346
764,0.41900593649208573
765,0.2328786800493985
766,0.12073257995041599
767,0.1140971123563393
768,0.1557995986504476
769,0.1326587339458255
770,0.16846133126746354
771,0.017635352828683705
772,0.061550766875404096
773,0.2862037161453235
774,0.061217956780163146
775,0.2704125976625452
776,0.40901557284023776
777,0.2757125492022433
778,0.12529812712509542
779,0.15536422773638614
780,0.06508728631787587
781,0.06863115245919095
782,0.0835408914887251
783,0.048855712630364895
784,0.0462574116941883
785,0.0642675778291359
786,0.31993664968616686
787,0.012888109434672832
788,-0.006331799001797256
789,0.1549403472822151
790,0.060007150485085835
791,0.04202207786418682
792,0.162884829454984
793,0.051647427023575415
794,0.044095266188640694
795,0.0917858195849581
796,0.07660527239668549
797,0.09781444391645112
798,0.04604906508230631
799,0.08526785316931221
800,0.07020422563405354
801,0.09391241565600351
802,0.07188945594014738
803,0.0650581343118357
804,0.09196817101355423
805,0.14590458743289683
806,0.017516041348239163
807,0.01980633937357636
808,0.023739962062048533
809,-0.015558238397771249
810,0.06602463041017084
811,0.05102504876963478
812,0.013544962168543284
813,0.09446400970190884
814,0.1893127360001917
815,0.09713287185020071
816,0.05668920681500349
817,0.03842747866740947
818,0.15366394586627274
819,0.03486488451690584
820,0.0788085999744605
821,0.06638042588323186
822,0.05693751643953559
823,0.26653783720143104
824,0.06570941167418497
825,0.20248561683304872
826,0.053375435042905
827,0.0653253329535792
828,0.02264743118225013
829,0.06645646367475232
830,0.2516881625669339
831,0.08729793594933462
832,0.45468325225910383
833,0.7311052073841744
834,0.040244290982919755
835,0.13728261437881126
836,0.12554170207357299
837,0.036309509300014225
838,0.0898042587725828
839,0.027474525702379696
840,0.058193724366882776
841,0.03379009118426389
842,0.09498068635856974
843,0.0661490296922819
844,0.10042199049283734
845,0.185628735293706
846,0.3615599236181822
847,0.054889126623816197
848,0.09855782273869279
849,0.4792949018015478
850,0.09470670981832734
851,0.19975572102287065
852,0.07435850308248225
853,0.1038446804923582
854,0.036351676578396504
855,0.2304794349152929
856,0.30556696508301917
857,0.0678596234413262
858,0.05339397167183774
859,0.16343186451014857
860,0.05762973394471273
861,0.03852257809733866
862,0.19377836812765634
863,0.09463713402560675
864,0.13889691768348905
865,0.1645181347507688
866,0.067405684255963
867,0.064751462906551
868,0.17864394571136374
869,0.10777760981773596
870,0.09754734102458887
871,0.07353342770484991
872,0.05120455580324417
873,0.10759682499429596
874,0.03687749689817437
875,0.06368681881812256
876,0.031866738862450825
877,0.15188636234515765
878,0.09646828046863797
879,0.061098587464728675
880,0.021250642327803618
881,0.04233410523629111
882,0.5212083870735884
883,0.05664649445138186
884,0.05402385885614898
885,0.09264038052131858
886,0.13071362170154693
887,0.2543112114721288
888,0.4732430493874582
889,0.014879962893417621
890,0.11459473625572236
891,0.05019408887636876
892,0.33834094164396233
893,0.11603877850273844
894,0.06563890055544055
895,0.08864356725325509
896,0.1209915416838637
897,0.13485305532518638
898,0.03934269879717988
899,0.3670068878786022
900,0.47893115950921206
901,0.1817717966819007
902,0.08836666856470418
903,0.0858289808839688
904,0.4053450975327157
905,0.19375043315994894
906,0.05167352326137606
907,0.05908202791646421
908,0.11504691731598393
909,0.06566062016676698
910,0.19266985552488522
911,0.20110057913566087
912,0.0851766153306462
913,0.14560286166116393
914,0.028480858452187577
915,0.07707189991818258
916,0.03241791563435386
917,0.1073366951919025
918,0.10930382279060857
919,0.09907123159923638
920,0.06282766807441285
921,0.1559676077803422
922,0.2349681061004024
923,0.16121195996888452
924,0.13682423530279994
925,0.05282506397180656
926,0.08069510750894468
927,0.09369454124045089
928,0.07657879547076345
929,0.06311655569925027
930,0.29769849285385075
931,0.054751941863941535
932,0.11063357517656462
933,0.07795959036493119
934,0.15830977476900762
935,0.0826415085372874
936,0.03405356899774466
937,0.10637868699540524
938,0.13001486905103452
939,0.030125341113318698
940,0.061366142439729036
941,0.43502436892219104
942,0.1426428201126452
943,0.5988973034793716
944,0.0826780071443126
945,0.05425835651673061
946,0.506166139316161
947,0.013591187801207709
948,0.010978677834678275
949,0.012401676204891025
950,0.17552735211116943
951,0.09745406919521252
952,0.4518396390717212
953,0.0666294706594304
954,0.01621077501281547
955,0.45480334622864727
956,0.0881084525318619
957,0.060166575782278305
958,0.1123030133084198
959,0.08425112166323148
960,0.14724306105197843
961,0.012098221309432035
962,0.010835779440738283
963,0.1498538002334517
964,0.5238480820533812
965,0.3967661623700471
966,0.008517214140515946
967,0.47076926773471245
968,0.06924121188545908
969,0.012044548604964756
970,0.0191244408020833
971,0.3148241074422463
972,0.7120745339276554
973,0.012243990400433035
974,0.01211229773406737
975,0.0404904533313329
976,0.015859987742260537
977,0.45686104390451754
978,0.007272963909623382
979,0.20999453721641165
980,0.01922905165209467
981,0.01212202095511201
982,0.03177549176066647
983,0.018586756933193692
984,0.36468529071009387
985,0.6270736030415852
986,0.011878343987922277
987,0.10439901419328035
988,0.01739435826075749
989,0.014233514058980656
990,0.1684869700423848
991,0.1592278599395688
992,0.4236658860851236
993,0.07930462404432975
994,0.38556010819304865
995,0.18105227773388657
996,0.011456373502786337
997,0.012977318590607776
998,0.012230231133405165
999,0.08774474904126436
1000,0.015009131406965224
1001,0.01368835992624022
1002,0.06742524866638651
1003,0.10222247645270384
1004,0.01639201847759565
1005,0.013510689500019353
1006,0.03284703702444264
1007,0.07571637359370419
1008,0.012138665385158521
1009,0.05426469229478703
1010,0.017721618856024933
1011,0.1749179256103573
1012,0.01726711537425718
1013,0.04045431893100938
1014,0.013234710280925144
1015,0.012259748207832757
1016,0.014090055232954394
1017,0.015838903521428263
1018,0.06360783352931428
1019,0.012134552419393287
1020,0.08617969896254428
1021,0.017300414431013617
1022,0.07581693472366695
1023,0.060312999727394
1024,0.014075050612726698
1025,0.09680856602221898
1026,0.01786436491506637
1027,0.03707210043761361
1028,0.03459331933208281
1029,0.012176824969533937
1030,0.014503055470624188
1031,0.013163721382966046
1032,0.011989024747694178
